sw,krw,kro,pc
0.3,0,0.8125,44340
0.33164,0,0.75002,38100
0.36328,0,0.68935,32950
0.39492,0,0.63055,28630
0.42656,0,0.57365,24950
0.4582,0.00001,0.5187,21770
0.48984,0.00005,0.46578,19010
0.52148,0.00016,0.41492,16580
0.55312,0.00046,0.36622,14430
0.58476,0.00115,0.31973,12510
0.6164,0.00261,0.27556,10790
0.64804,0.00547,0.23379,9237
0.67968,0.01073,0.19455,7828
0.71132,0.01996,0.15797,6545
0.74296,0.03545,0.1242,5371
0.7746,0.06051,0.09346,4293
0.80624,0.09979,0.06598,3300
0.83788,0.15963,0.04212,2381
0.86952,0.2486,0.02238,1530
0.90116,0.37799,0.00759,738
0.9328,0.5625,0,0